Interaction;Value;Percentage_Contribution
absorption_intensity_repeat_bullish_vol <-> bear_imbalance_low_2;17.4008;0.1333
cumDiffVolDeltaRatio <-> bullish_imnbScore_score;17.3762;0.1332
bandWidthBB <-> bear_imbalance_high_3;17.0864;0.1309
diffLowPrice_0_3 <-> bearish_asc_ask_bid_imbalance;17.0392;0.1306
poc_diff_6P_11P <-> bullish_ask_abs_ratio_blw;16.9623;0.1300
bearish_extrem_revIntensity_ratio_extrem <-> bearish_market_context_score;16.9518;0.1299
perct_VA6P <-> bullish_imnbScore_score;16.8275;0.1289
diffPriceClose_VA6PPoc <-> poc_diff_6P_16P;16.8174;0.1289
bearish_dsc_ask_bid_delta_imbalance <-> bearish_extrem_revIntensity_ratio_extrem;16.7896;0.1287
bullish_imnbScore_score <-> bearish_absorption_intensity_repeat_count;16.7789;0.1286
absorption_intensity_repeat_bullish_vol <-> bearish_dsc_dynamics;16.7674;0.1285
bearish_ask_score <-> diffPriceClosePoc_0_4;16.7269;0.1282
bullish_reversal_force <-> diffVolDelta_0_1Ratio;16.6941;0.1279
poc_diff_6P_21P <-> overlap_ratio_VA_6P_21P;16.6541;0.1276
overlap_ratio_VA_6P_11P <-> bearish_absorption_score;16.6372;0.1275
bear_imbalance_high_2 <-> range_strength_10_32;16.6165;0.1273
bear_imbalance_low_0 <-> poc_diff_11P_21P;16.5821;0.1271
ratio_delta_vol_VA16P <-> bearish_dsc_dynamics;16.4799;0.1263
imbalance_score_high <-> bearish_absorption_intensity_repeat_count;16.4455;0.1260
perctBB <-> bearish_combined_pressure;16.3816;0.1255
bearish_bid_ratio <-> poc_diff_ratio_6P_16P;16.2536;0.1246
VolBlw_vol_ratio <-> overlap_ratio_VA_11P_21P;16.2509;0.1245
range_strength_5_23 <-> perct_VA6P;16.1835;0.1240
pocDeltaPocVolRatio <-> bear_imbalance_high_3;16.1568;0.1238
bearish_imnbScore_score <-> bearish_market_context_score;16.1545;0.1238
poc_diff_6P_11P <-> bearish_dsc_ask_bid_delta_imbalance;16.0896;0.1233
bullish_dsc_dynamics <-> perct_VA6P;16.0311;0.1228
price_volume_dynamic <-> perct_VA11P;15.9790;0.1224
bullish_dsc_dynamics <-> diffPriceCloseVWAP;15.8799;0.1217
bull_imbalance_low_1 <-> market_regimeADX;15.7307;0.1205
perct_VA11P <-> range_strength_10_32;15.6991;0.1203
bearish_combined_pressure <-> diffHighPrice_0_4;15.5897;0.1195
perct_VA11P <-> bull_imbalance_low_1;15.5835;0.1194
deltaTimestampOpeningSection1min <-> bull_imbalance_high_1;15.5769;0.1194
perctBB <-> diffPriceClose_VA6PPoc;15.5335;0.1190
bearish_ask_score <-> bearish_absorption_score;15.5322;0.1190
bearish_dsc_ask_bid_imbalance <-> imbalance_score_high;15.4389;0.1183
naked_poc_dist_above <-> finished_auction_high;15.3429;0.1176
bullish_repeatAskBid_ratio <-> bullish_ask_bid_ratio;15.3137;0.1173
vol_volatility_score <-> bullish_ask_ratio;15.2905;0.1172
bandWidthBB <-> bear_imbalance_high_2;15.2680;0.1170
vol_volatility_score <-> bearish_repeatAskBid_ratio;14.9975;0.1149
diffVolDelta_0_1Ratio <-> bearish_market_context_score;14.9594;0.1146
bearish_extrem_revIntensity_ratio_extrem <-> diffLowPrice_0_3;14.7223;0.1128
bullish_repeatAskBid_ratio <-> bandWidthBB;14.7119;0.1127
perct_VA16P <-> bearish_combined_pressure;14.6748;0.1125
bearish_dsc_ask_bid_delta_imbalance <-> bearish_abs_diff_abv;14.6474;0.1122
bearish_extrem_pressure_ratio_extrem <-> bullish_dsc_dynamics;14.5374;0.1114
vol_volatility_score <-> bearish_ask_score;14.5234;0.1113
bearish_dsc_dynamics <-> overlap_ratio_VA_6P_11P;14.4607;0.1108
