Interaction;Value;Percentage_Contribution
bear_imbalance_low_2 <-> diffVolDelta_0_1Ratio;1.0712;0.0246
ratio_delta_vol_VA21P <-> diffPriceClose_VA11PvaL;1.0638;0.0245
bearish_market_context_score <-> diffPriceCloseVWAP;1.0329;0.0238
deltaTimestampOpeningSection5min <-> bear_imbalance_low_1;1.0106;0.0232
ratioDeltaAbv <-> bullish_absorption_ratio;0.9808;0.0226
bearish_ask_abs_ratio_abv <-> poc_diff_6P_16P;0.9783;0.0225
diffPriceCloseVWAP <-> absorption_intensity_repeat_bearish_vol;0.9567;0.0220
poc_diff_ratio_6P_16P <-> naked_poc_dist_below;0.9482;0.0218
diffPriceClose_VA21PvaH <-> VolPocVolCandleRatio;0.9477;0.0218
naked_poc_dist_below <-> diffHighPrice_0_4;0.9313;0.0214
bull_imbalance_high_0 <-> diffPriceClosePoc_0_2;0.9258;0.0213
bearish_dsc_ask_bid_delta_imbalance <-> bearish_absorption_ratio;0.9018;0.0207
bull_imbalance_low_3 <-> bullish_asc_dynamics;0.8925;0.0205
