Interaction;Value;Percentage_Contribution
bearish_bid_abs_ratio_abv <-> bear_imbalance_high_2;10.5781;0.1273
bull_imbalance_high_0 <-> bearish_combined_pressure;10.5300;0.1267
bear_imbalance_high_1 <-> poc_diff_6P_11P;10.4784;0.1261
diffHighPrice_0_2 <-> diffPriceClose_VA11PvaL;10.4558;0.1258
bearish_repeatAskBid_ratio <-> perct_VA16P;10.4050;0.1252
bear_imbalance_low_2 <-> bearish_repeatAskBid_ratio;10.2473;0.1233
cumDiffVolDeltaRatio <-> bullish_ask_abs_ratio_blw;10.2330;0.1231
VolCandleMeanxRatio <-> perct_VA11P;10.1122;0.1217
bearish_dsc_ask_bid_delta_imbalance <-> range_strength_10_32;10.0254;0.1206
absorption_intensity_repeat_bearish_vol <-> range_strength_10_32;10.0020;0.1203
bear_imbalance_high_1 <-> poc_diff_ratio_6P_16P;9.7857;0.1177
bearish_repeatAskBid_ratio <-> bull_imbalance_low_2;9.7830;0.1177
bearish_absorption_score <-> imbalance_score_high;9.7676;0.1175
diffPriceClosePoc_0_3 <-> diffPriceCloseVWAP;9.7254;0.1170
bearish_market_context_score <-> diffLowPrice_0_4;9.6854;0.1165
bandWidthBB <-> diffPriceCloseVWAP;9.6662;0.1163
naked_poc_dist_above <-> diffPriceClosePoc_0_2;9.5998;0.1155
bearish_abs_diff_abv <-> bearish_asc_dsc_ratio;9.5230;0.1146
diffPriceCloseVWAP <-> atr;9.4740;0.1140
absorption_intensity_repeat_bearish_vol <-> bearish_ask_score;9.4261;0.1134
ratio_delta_vol_VA21P <-> bear_imbalance_high_1;9.3274;0.1122
VolAbv_vol_ratio <-> bear_imbalance_high_1;9.3117;0.1120
bullish_dsc_dynamics <-> overlap_ratio_VA_11P_21P;9.1489;0.1101
bearish_repeatAskBid_ratio <-> bullish_absorption_score;9.1257;0.1098
bullish_combined_pressure <-> range_strength_5_23;9.1136;0.1097
overlap_ratio_VA_6P_21P <-> bullish_repeatAskBid_ratio;9.0920;0.1094
diffPriceCloseVWAP <-> absorption_intensity_repeat_bearish_vol;9.0436;0.1088
poc_diff_11P_21P <-> diffVolDelta_0_1Ratio;9.0322;0.1087
ratio_delta_vol_VA11P <-> pocDeltaPocVolRatio;8.8847;0.1069
perct_VA21P <-> ratio_delta_vol_VA11P;8.8438;0.1064
bearish_ask_ratio <-> diffPriceClose_VA16PvaH;8.7870;0.1057
ratio_delta_vol_VA11P <-> bull_imbalance_high_0;8.6961;0.1046
diffPriceClosePoc_0_3 <-> diffVolCandle_0_1Ratio;8.6605;0.1042
diffVolCandle_0_1Ratio <-> diffPriceCloseVWAP;8.5458;0.1028
diffPriceClosePoc_0_0 <-> VolCandleMeanxRatio;8.5281;0.1026
VolPocVolCandleRatio <-> market_regimeADX;8.4536;0.1017
bull_imbalance_high_2 <-> bearish_dsc_dynamics;8.1815;0.0984
bull_imbalance_low_3 <-> diffPriceClose_VA21PPoc;8.1266;0.0978
bearish_ask_ratio <-> bearish_absorption_ratio;8.1192;0.0977
bullish_imnbScore_score <-> bearish_dsc_ask_bid_delta_imbalance;8.1052;0.0975
perct_VA11P <-> bullish_repeatAskBid_ratio;8.0914;0.0974
bearish_bid_score <-> perct_VA11P;8.0562;0.0969
vol_volatility_score <-> bullish_ask_ratio;7.9717;0.0959
absorption_intensity_repeat_bearish_vol <-> bearish_bid_score;7.8979;0.0950
bearish_dsc_ask_bid_delta_imbalance <-> finished_auction_high;7.8722;0.0947
range_strength_5_23 <-> bearish_asc_ask_bid_delta_imbalance;7.8440;0.0944
diffPriceClose_VA21PPoc <-> bullish_market_context_score;7.8042;0.0939
bullish_repeatAskBid_ratio <-> bearish_ask_bid_ratio;7.7422;0.0932
VolPocVolCandleRatio <-> bullish_asc_ask_bid_delta_imbalance;7.7254;0.0930
diffPriceClosePoc_0_3 <-> bullish_dsc_ask_bid_delta_imbalance;7.7203;0.0929
ratioDeltaAbv <-> vol_volatility_score;7.7079;0.0927
perctBB <-> diffPriceClosePoc_0_1;7.6656;0.0922
ratioDeltaAbv <-> cumDiffVolDeltaRatio;7.6045;0.0915
bearish_ask_score <-> bullish_dsc_ask_bid_delta_imbalance;7.4880;0.0901
bullish_ask_bid_ratio <-> bullish_absorption_score;7.4494;0.0896
bearish_repeatAskBid_ratio <-> cumDiffVolDeltaRatio;7.4410;0.0895
overlap_ratio_VA_6P_11P <-> naked_poc_dist_below;7.3428;0.0884
bearish_dsc_ask_bid_delta_imbalance <-> bearish_combined_pressure;7.3361;0.0883
diffHighPrice_0_3 <-> bearish_asc_dynamics;7.3142;0.0880
diffPriceClosePoc_0_1 <-> poc_diff_ratio_6P_21P;7.3009;0.0878
bullish_absorption_score <-> bearish_combined_pressure;7.2698;0.0875
bullish_dsc_ask_bid_delta_imbalance <-> cumDiffVolDeltaRatio;7.2037;0.0867
bullish_absorption_score <-> poc_diff_ratio_6P_21P;7.1673;0.0862
bearish_ask_score <-> bullish_ask_abs_ratio_blw;7.1391;0.0859
count_blw_tot_ratio <-> diffPriceClose_VA11PvaL;7.0097;0.0843
bullish_dsc_ask_bid_delta_imbalance <-> price_volume_dynamic;6.9709;0.0839
overlap_ratio_VA_6P_21P <-> price_volume_dynamic;6.8942;0.0830
bullish_bid_score <-> ratio_delta_vol_VA21P;6.8204;0.0821
bearish_abs_diff_abv <-> diffLowPrice_0_4;6.8009;0.0818
